iter	Passed	Remaining
0	144	144163
1	146	73048
2	149	49551
3	151	37755
4	153	30644
5	156	25913
6	158	22481
7	160	19930
8	162	17935
9	164	16332
10	168	15130
11	170	14008
12	172	13063
13	173	12243
14	175	11527
15	177	10894
16	178	10338
17	180	9849
18	182	9430
19	184	9048
20	186	8689
21	188	8373
22	190	8072
23	191	7802
24	193	7553
25	196	7344
26	197	7133
27	199	6936
28	201	6750
29	203	6570
30	205	6408
31	206	6256
32	208	6111
33	210	5989
34	213	5885
35	215	5767
36	217	5653
37	219	5545
38	220	5444
39	222	5345
40	224	5251
41	226	5167
42	228	5081
43	230	5003
44	232	4924
45	233	4846
46	235	4774
47	237	4703
48	238	4631
49	241	4583
50	243	4523
51	244	4463
52	246	4405
53	248	4353
54	250	4300
55	251	4247
56	253	4195
57	255	4148
58	257	4105
59	259	4061
60	260	4014
61	262	3969
62	264	3927
63	265	3884
64	267	3844
65	269	3812
66	271	3777
67	273	3744
68	275	3711
69	276	3677
70	278	3645
71	280	3615
72	282	3584
73	284	3554
74	286	3533
75	288	3505
76	290	3478
77	291	3450
78	293	3423
79	295	3397
80	297	3372
81	299	3347
82	300	3315
83	302	3293
84	303	3271
85	305	3249
86	307	3231
87	309	3209
88	311	3188
89	313	3167
90	315	3152
91	317	3134
92	319	3115
93	321	3097
94	323	3079
95	325	3061
96	326	3043
97	328	3025
98	330	3007
99	332	2991
100	334	2973
101	335	2955
102	337	2942
103	339	2929
104	342	2915
105	343	2900
106	346	2888
107	347	2873
108	349	2858
109	351	2845
110	353	2831
111	355	2818
112	357	2803
113	359	2790
114	360	2777
115	362	2762
116	364	2747
117	365	2734
118	367	2720
119	369	2709
120	371	2696
121	372	2681
122	374	2669
123	376	2657
124	377	2645
125	379	2633
126	381	2620
127	383	2609
128	385	2601
129	387	2591
130	390	2588
131	392	2578
132	394	2571
133	396	2561
134	398	2553
135	400	2547
136	404	2549
137	408	2549
138	410	2543
139	412	2533
140	414	2523
141	415	2510
142	417	2500
143	422	2510
144	424	2505
145	427	2498
146	429	2490
147	431	2481
148	432	2472
149	436	2470
150	438	2466
151	440	2456
152	442	2451
153	445	2444
154	446	2436
155	450	2435
156	452	2431
157	455	2425
158	457	2417
159	458	2408
160	460	2399
161	462	2390
162	465	2390
163	467	2383
164	469	2375
165	471	2368
166	474	2366
167	476	2360
168	479	2357
169	481	2351
170	483	2345
171	486	2339
172	488	2333
173	491	2333
174	494	2333
175	497	2327
176	499	2320
177	500	2313
178	502	2305
179	504	2299
180	506	2293
181	509	2290
182	511	2284
183	513	2278
184	515	2271
185	517	2266
186	520	2262
187	522	2255
188	525	2255
189	528	2251
190	530	2246
191	532	2241
192	534	2234
193	536	2228
194	538	2223
195	540	2218
196	542	2211
197	544	2206
198	546	2200
199	548	2193
200	550	2188
201	552	2182
202	555	2179
203	557	2174
204	559	2168
205	561	2162
206	563	2157
207	565	2152
208	567	2146
209	570	2145
210	572	2139
211	574	2134
212	575	2128
213	577	2121
214	579	2115
215	581	2110
216	584	2109
217	587	2105
218	589	2103
219	591	2098
220	594	2094
221	596	2090
222	599	2088
223	601	2084
224	603	2079
225	605	2074
226	607	2068
227	609	2063
228	611	2058
229	613	2055
230	615	2050
231	617	2045
232	619	2039
233	621	2034
234	623	2028
235	624	2023
236	626	2017
237	629	2014
238	631	2011
239	633	2006
240	635	2002
241	638	1998
242	639	1992
243	641	1987
244	644	1986
245	647	1983
246	649	1978
247	650	1973
248	653	1969
249	654	1964
250	656	1959
251	659	1958
252	661	1954
253	663	1949
254	665	1945
255	669	1945
256	672	1942
257	676	1944
258	678	1940
259	679	1935
260	681	1930
